번호,총량지점명,일자,수온(℃),수소이온농도(pH),전기전도도(?S/㎝),용존산소(㎎/L),BOD(㎎/L),COD(㎎/L),부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s)
3257,금본J,2020.06.02,23.3,8.8,375,10.3,4,8.4,14,2.003,0.068,5.1,52.101
3258,금본J1,2020.06.02,21.5,7.5,320,8.8,3.9,11.3,21.2,2.675,0.165,6.9,0.531
3259,금본K,2020.06.02,23.4,7.9,352,8.8,3.6,9,17.7,2.484,0.074,6.8,65.083
3260,금본K1,2020.06.02,21.6,7,335,3,3.1,10.5,17,1.734,0.168,6.7,0.012
3261,금본L,2020.06.02,22.8,8.4,385,8.6,2.9,8.8,7,2.125,0.068,6.5,72.759
3262,논산A,2020.06.02,24,7.6,341,8.1,5.5,12,17.7,2.968,0.125,8.1,7.048
3263,대교천2,2020.06.02,21.9,8.4,387,10.6,1.1,7,3,1.474,0.201,4.2,0.379
3264,석성천2,2020.06.02,22,7.3,431,5.8,5.1,13.5,35.8,3.099,0.166,8.8,2.728
3265,길산천2,2020.06.03,22.1,7.7,447,7.3,5.4,14.5,29.3,2.875,0.097,8.6,
3266,논산A1,2020.06.03,22,7.7,140,10.9,0.9,3.1,2.4,0.868,0.035,1.4,0.283
3267,논산A2,2020.06.03,20.6,7.3,217,10.2,1.2,4.5,4.6,2.101,0.033,2.3,0.076
3268,논산A3,2020.06.03,22.9,8.3,211,12.4,4,13.8,8.6,1.874,0.233,6.4,0.403
3269,산북천,2020.06.03,22.9,7.7,420,8,7.3,15.1,17.3,3.559,0.096,9.2,
3270,금본A,2020.06.04,24.3,8.2,219,10.6,1.9,6.2,12.3,3.939,0.115,3.5,2.357
3271,금본B,2020.06.04,20.5,7.6,119,10.5,0.8,4.1,2,1.613,0.02,2.3,15.168
3272,금본B1,2020.06.04,21.8,7.6,190,10,1.3,5.7,7.8,2.027,0.05,2.4,0.934
3273,금본B2,2020.06.04,24.2,7.8,88,10.3,0.6,4.3,7.2,1.79,0.034,1.4,0.65
3274,금본C,2020.06.04,22.9,8.7,123,10.5,1,4.2,2.3,1.165,0.027,2.5,7.898
3275,금본C1,2020.06.04,25.2,8.2,182,11.2,1.5,5.1,4.4,0.828,0.037,2,2.379
3276,금본D,2020.06.04,23.9,8,132,9.1,1.1,4.2,2.9,1.07,0.033,2.5,15.081
3277,금본E,2020.06.04,24.5,8.4,142,9.2,2.1,4.2,2.8,0.871,0.022,2.4,14.795
3278,금본F1,2020.06.04,22.3,7.1,126,7,0.5,2.7,1,1.068,0.022,1.1,0.023
3279,금본F2,2020.06.04,27.1,8.1,345,11.1,1.2,5.4,2.5,0.976,0.033,2.7,0.122
3280,보청A,2020.06.04,23,7.8,254,9,1.7,5.2,6.4,2.082,0.049,3.1,4.249
3281,초강A,2020.06.04,26.5,8.4,185,8.8,1.9,5.3,5.3,0.788,0.038,3.8,0.613
3282,초강A1,2020.06.04,21.7,7.1,203,9.7,1.3,5.2,4.2,1.418,0.045,2.5,0.008
3283,길산천2,2020.06.08,25.4,7.6,418,7.7,6.9,18,25.8,2.675,0.102,13.9,
3284,논산A1,2020.06.08,26.8,7.8,146,10.4,1,3.7,2.7,0.633,0.045,1.8,0.15
3285,논산A2,2020.06.08,25.8,7.7,220,9.8,2.8,5.6,104,2.029,0.098,4.1,0.066
3286,논산A3,2020.06.08,29.3,8.5,215,12.7,4.4,15.7,11,2.08,0.25,9.6,0.322
3287,산북천,2020.06.08,26.5,7.8,433,8.9,7.6,16.4,17.7,4.053,0.126,12.6,
3288,금본A,2020.06.09,26.6,8,208,9.4,1.6,7.3,12,2.378,0.113,3.9,2.284
3289,금본B,2020.06.09,20.5,7.4,119,10.7,0.8,4.2,1.1,1.465,0.077,2.2,15.723
3290,금본B1,2020.06.09,21.5,7.3,161,9.9,1.2,5.1,10,1.823,0.073,3.1,1.184
3291,금본B2,2020.06.09,25.5,7.8,88,9.4,1,4.6,8,1.2,0.065,2.3,0.45
3292,금본C,2020.06.09,25.8,8.7,126,10,1.1,4.9,2.9,1.195,0.03,2.5,10.901
3293,금본C1,2020.06.09,27,7.9,172,10.8,1.4,5.6,4.3,0.894,0.048,2.8,2.188
3294,금본D,2020.06.09,26.5,8,135,8.5,1.2,4.7,3.6,1.088,0.059,2.7,17.618
3295,금본E,2020.06.09,27.8,8.5,141,9,1.9,4.5,2.9,0.735,0.033,2.5,16.188
3296,금본F1,2020.06.09,24.5,7.2,147,6.9,0.5,2.6,0.8,1.063,0.054,1.9,0.015
3297,금본F2,2020.06.09,29.8,8.1,363,11.4,1.9,6.2,2.7,0.703,0.082,3.9,0.041
3298,보청A,2020.06.09,26.9,7.9,277,9.1,0.9,6.3,4.6,1.374,0.074,3.7,3.123
3299,초강A,2020.06.09,27.4,7.9,193,7.9,1,5.8,4,0.611,0.069,3.5,0.27
3300,갑천A,2020.06.10,27.4,7.7,532,9,3.1,9,8,5.977,0.086,6.8,10.749
3301,금본F,2020.06.10,10.1,7.8,160,11.2,0.9,4.4,0.8,1.454,0.022,3.1,35.421
3302,금본G,2020.06.10,18.8,7.4,269,10.4,1.2,6.3,5.2,2.391,0.029,4.2,47.564
3303,금본G-1,2020.06.10,16.5,8,254,12,1.3,5.8,5.3,2.266,0.05,3.6,43.642
3304,금본G1,2020.06.10,23.2,7.3,251,8.4,1.2,6,7.4,1.449,0.057,3.1,0.054
3305,금본G2,2020.06.10,27.1,8.2,320,10,2.1,8.6,13.1,2.201,0.108,5.3,0.479
3306,무심A,2020.06.10,21,7.6,207,9.6,3.6,6.5,3.8,1.64,0.105,4.9,4.614
3307,무심A1,2020.06.10,25.9,7.3,328,7.9,6.5,16.1,16.3,1.35,0.171,9.8,0.105
3308,미호A,2020.06.10,25.1,9,434,14.9,11,15.6,37.2,0.654,0.1,9.9,0.166
3309,미호A1,2020.06.10,26.6,7.7,560,10.6,5.8,13.1,13.2,3.128,0.236,7.5,0.45
3310,미호A2,2020.06.10,29.4,8.4,419,15.1,2.9,8.3,4,1.921,0.151,4.6,0.304
3311,미호B,2020.06.10,29.4,9.2,576,14.8,7.3,13.5,15,3.592,0.084,9.5,15.474
3312,미호B1,2020.06.10,30.1,9,332,15.8,6.1,11.6,36.3,0.557,0.098,7,0.361
3313,미호B2,2020.06.10,26.2,7.5,387,11.9,3.6,9.3,7,1.507,0.126,5,0.04
3314,미호B3,2020.06.10,29,8.1,446,13.6,3.8,12.7,9.4,0.926,0.236,7.6,0.017
3315,미호B4,2020.06.10,29.4,8,1290,10.3,4,9.7,13.5,9.852,0.105,6.3,1.918
3316,미호C,2020.06.10,27.6,8.7,587,11.1,6.8,13.7,32,2.952,0.071,8.8,13.359
3317,미호C1,2020.06.10,25.7,7.6,561,9.8,5.2,7.4,7.2,3.561,0.069,4.1,0.445
3318,병천A,2020.06.10,28.7,8,508,8.5,3,9.2,7,1.754,0.11,6.7,0.594
3319,유등A,2020.06.10,25.5,7.9,328,10.1,0.8,3.7,2.3,0.853,0.011,2,0.643
3320,금본H,2020.06.11,24.8,7.6,230,6.1,11.5,18.2,209.1,2.701,0.214,11.8,235.277
3321,금본H-1,2020.06.11,25.3,7.1,245,7.1,7.8,13.6,110.6,2.785,0.145,11.6,242.504
3322,금본H1,2020.06.11,21.2,7.5,110,9.2,3,9.8,44,2.453,0.129,5,12.696
3323,금본I,2020.06.11,25.3,8,268,8.9,4.9,10.4,45,2.181,0.164,6.6,292.036
3324,금본J,2020.06.11,26.4,8.5,320,9.7,5.3,12.6,91,1.713,0.102,7.2,442.965
3325,금본J1,2020.06.11,26.7,7.3,205,7.6,3.7,12.7,73.7,1.856,0.12,6.6,32.215
3326,금본K,2020.06.11,25.1,8,303,7.5,5.4,12.2,76,2.397,0.207,7.1,768.52
3327,금본K1,2020.06.11,23.7,7,177,7.5,5.4,15.6,43.5,2.598,0.312,8,10.202
3328,금본L,2020.06.11,26.4,8,369,8.1,5.9,11.5,89.5,2.193,0.079,7.2,979.965
3329,논산A,2020.06.11,23.6,7.7,226,7.1,6.7,18.3,227.8,3.039,0.379,13.3,140.905
3330,대교천2,2020.06.11,23.7,7.2,246,7.3,5.6,14.9,80,2.83,0.352,9,7.227
3331,석성천2,2020.06.11,23.9,7,195,6.8,5.6,16,126,3.454,0.356,11.1,42.853
3332,금본A,2020.06.15,19.2,7.2,127,9.7,0.8,6.7,16.7,3.368,0.092,3.1,23.497
3333,금본B,2020.06.15,21.6,7.3,111,9.9,0.4,4.3,2.9,1.528,0.013,2.1,17.112
3334,금본B1,2020.06.15,17.5,6.7,88,10.4,1,5.3,12.5,2.056,0.05,3,8.322
3335,금본B2,2020.06.15,18.4,7,92,10.4,0.7,4.1,5.9,2.724,0.026,1.8,12.32
3336,금본C,2020.06.15,18.3,7.2,89,8.8,0.4,6.3,8.6,2.382,0.042,3.3,102.583
3337,금본C1,2020.06.15,19.9,7.3,162,9.9,0.9,5.5,10.3,2.241,0.045,3.6,65.547
3338,금본D,2020.06.15,19.2,7.2,95,8,0.6,7.2,12.6,2.422,0.047,3.8,204.672
3339,금본E,2020.06.15,20.3,7.4,97,8.4,1,9.2,20.6,2.697,0.077,4.9,263.607
3340,금본F1,2020.06.15,20.5,7.2,102,8.9,0.7,4.6,1.7,2.561,0.023,2.5,1.762
3341,금본F2,2020.06.15,22.7,7.8,256,9.9,1.5,5.8,3.3,2.473,0.065,3.1,1.596
3342,보청A,2020.06.15,22.8,7.6,210,8.7,0.9,8.3,8.1,2.849,0.071,4.8,19.633
3343,초강A,2020.06.15,20.7,7.7,108,9.4,0.8,6.4,11.9,1.965,0.1,3.5,44.232
3344,초강A1,2020.06.15,18.1,6.8,123,9.8,0.9,7.4,4.6,1.951,0.044,4.3,3.452
3345,갑천A,2020.06.16,25.9,7.7,450,8.5,1.9,7.2,7.4,4.504,0.139,4.2,29.883
3346,금본F,2020.06.16,10.6,7.6,160,11.3,0.3,3.9,0.7,1.482,0.009,2.2,35.651
3347,금본G,2020.06.16,21.1,7.2,222,9.7,0.7,6.2,11.9,2.631,0.07,3.2,67.429
3348,금본G-1,2020.06.16,21.2,7.3,222,9.8,1.2,5.5,8.4,2.599,0.048,2.8,60.866
3349,금본G1,2020.06.16,22.5,7.7,227,9,0.8,5.7,7.4,1.596,0.067,3,0.111
3350,금본G2,2020.06.16,26.7,7.9,332,8.7,1.4,7.6,28.7,1.69,0.101,4.4,0.714
3351,무심A,2020.06.16,20.5,7.6,206,8.1,2.8,6.7,5.4,1.628,0.153,3.6,5.909
3352,무심A1,2020.06.16,26,7.7,268,8,3.3,10.9,23,2.146,0.286,6.6,1.347
3353,미호A,2020.06.16,25.1,8.7,462,9.9,7.9,15.1,48.5,1.235,0.17,6.2,0.113
3354,미호A1,2020.06.16,24.9,7.6,523,9.6,8.9,13.2,29.8,4.165,0.216,7.6,0.301
3355,미호A2,2020.06.16,27.5,8,456,14.8,2.1,6.6,3.2,2.722,0.186,4,0.144
3356,미호B,2020.06.16,27.8,9,522,12.8,7.5,16.5,22,3.695,0.176,8.4,17.335
3357,미호B1,2020.06.16,25.6,7.8,311,9.6,2.2,10.8,92,1.226,0.096,6.4,1.06
3358,미호B2,2020.06.16,24.8,7.3,353,9.9,2,7.5,5.5,1.605,0.076,4.2,0.123
3359,미호B3,2020.06.16,26.6,7.5,397,8.7,2.9,12.6,9,3.004,0.252,7.2,0.046
3360,미호B4,2020.06.16,29.5,8,1165,9.2,5.2,11.6,15.2,10.51,0.095,7.2,2.039
3361,미호C,2020.06.16,26.6,8.7,523,13.7,6.2,14,42.7,3.493,0.216,7.1,16.685
3362,미호C1,2020.06.16,25.4,7.7,532,9.4,2.4,7.3,9.7,2.046,0.055,4.2,1.183
3363,병천A,2020.06.16,25.8,7.9,435,7.7,1.6,8.8,19.6,2.295,0.147,5.7,1.147
3364,유등A,2020.06.16,19.7,7.8,282,9.8,0.4,3.3,2.5,3.965,0.025,1.4,6.299
3365,금본H,2020.06.17,22.5,7.9,317,9.8,3,8.3,19.2,2.574,0.122,4.6,71.129
3366,금본H-1,2020.06.17,22.7,8.3,304,11.1,2.7,7.5,22.7,2.64,0.097,4.3,71.539
3367,금본H1,2020.06.17,22.6,7.4,150,9,0.7,4.3,6.3,1.848,0.041,2.1,1.153
3368,금본I,2020.06.17,24.8,8.8,275,13.4,3.6,8.2,17,2.236,0.121,4.4,74.387
3369,금본J,2020.06.17,25.1,8.8,284,11.5,5.1,9.8,25,2.185,0.143,5.4,95.994
3370,금본J1,2020.06.17,26.1,7.8,260,8.9,4,11.1,21.5,2.101,0.194,6.6,0.674
3371,금본K,2020.06.17,26.2,7.6,244,7.9,2.9,9.1,18.7,2.402,0.126,6.1,109.976
3372,금본K1,2020.06.17,24.3,7.2,325,5.7,2.3,9.2,31,1.192,0.13,6.4,0.188
3373,금본L,2020.06.17,25.3,7.5,316,4.6,2.7,8.3,21.3,2.278,0.117,5.2,117.241
3374,논산A,2020.06.17,26.3,7.7,265,7.9,4.7,11.9,17,3.33,0.214,7.5,8.377
3375,대교천2,2020.06.17,27.1,8.5,366,10.9,0.9,6.1,2.3,1.268,0.219,3.6,0.41
3376,석성천2,2020.06.17,25.5,7.2,337,5.1,4.6,13.6,28,2.203,0.2,8.5,2.598
3377,길산천2,2020.06.18,25,7.5,360,6.5,4.9,15.1,28.3,2.265,0.156,8.9,
3378,논산A1,2020.06.18,19.9,7.1,134,9,0.5,3,0.9,2.285,0.026,1.5,2.473
3379,논산A2,2020.06.18,20,7.4,206,9.4,1.1,4.4,6.5,2.874,0.081,2.4,0.335
3380,논산A3,2020.06.18,22.3,7.6,221,9.9,3.4,12.8,11.7,2.269,0.23,6.9,0.737
3381,산북천,2020.06.18,25.2,7.5,230,6.5,5.2,12.4,19.3,3.47,0.226,7.3,
3382,갑천A,2020.06.22,28.5,8,565,12.9,3.9,8.4,4.2,6.242,0.076,4.4,12.713
3383,금본F,2020.06.22,10.8,7.6,162,9.8,0.7,4,1.1,1.407,0.019,2.2,35.668
3384,금본G,2020.06.22,19.2,7.7,251,10.1,1.4,5.7,7.8,2.31,0.037,2.9,50.338
3385,금본G-1,2020.06.22,17.1,7.7,238,11.2,1.3,5.1,3.9,2.464,0.034,2.8,48.793
3386,금본G1,2020.06.22,23.7,7.6,252,9,1.2,5.2,6.5,0.933,0.054,2.7,0.068
3387,금본G2,2020.06.22,27.2,8.3,312,10.1,1.9,6.6,18,1.553,0.072,5,0.793
3388,무심A,2020.06.22,22.2,7.6,199,9.8,3.7,6.1,9.4,1.445,0.097,3.5,5.598
3389,무심A1,2020.06.22,28.1,8.8,283,15.9,10.2,16.5,29,1.019,0.284,10.5,0.66
3390,미호A,2020.06.22,26.9,9.3,385,14.7,8.6,12.5,39.7,0.857,0.138,6.6,1.043
3391,미호A1,2020.06.22,27.8,8.2,467,10.5,8.1,16.4,33.7,2.567,0.325,9.2,0.484
3392,미호A2,2020.06.22,28.5,7.9,300,9.4,2.4,7.4,5.8,1.934,0.148,4.7,0.551
3393,미호B,2020.06.22,29.5,9.3,463,16.6,9.8,14.8,24,3.362,0.138,7.8,20.478
3394,미호B1,2020.06.22,28.6,8.1,299,10.1,3.2,8.7,17.9,1.323,0.115,5.8,0.825
3395,미호B2,2020.06.22,25.4,7.3,347,11.4,3.2,8.3,8,1.824,0.18,4.8,0.07
3396,미호B3,2020.06.22,27.9,7.7,415,10.4,2.9,11.5,9.8,2.152,0.278,7.2,0.033
3397,미호B4,2020.06.22,30.5,8.1,1262,9.8,4.9,9.5,12,12.262,0.132,6.3,1.958
3398,미호C,2020.06.22,19.7,8.7,493,14.2,8.3,9.8,33.7,2.569,0.158,6.7,20.715
3399,미호C1,2020.06.22,26.6,8,570,12.4,4,7.6,10,2.961,0.087,4.7,0.747
3400,병천A,2020.06.22,30.4,8.6,451,12.4,3.6,8.5,19,1.701,0.163,6.1,0.944
3401,유등A,2020.06.22,23.6,7.9,315,10.6,1,3.1,2.3,2.824,0.018,1.4,0.827
3402,금본H,2020.06.23,23.2,8.1,324,10.3,3.9,8.4,16.8,2.578,0.083,6.1,64.416
3403,금본H-1,2020.06.23,24.3,8.9,328,11.7,4.1,8.2,17,2.541,0.121,4.4,64.819
3404,금본H1,2020.06.23,26.8,7.6,208,8.8,1.5,5.8,7.1,1.388,0.064,3,0.354
3405,금본I,2020.06.23,26.8,9.3,325,12.6,6.3,9.5,17,2.222,0.093,5.8,67.591
3406,금본J,2020.06.23,26.7,8.9,331,10.8,5.5,9.3,18.7,2.099,0.105,5,77.864
3407,금본J1,2020.06.23,28.8,8.1,232,9.7,3.6,9.3,12.8,1.432,0.103,6.8,1.244
3408,금본K,2020.06.23,25.7,7.4,295,7.1,3.2,8.5,16.3,2.459,0.126,5.3,98.069
3409,금본K1,2020.06.23,25.8,7.2,323,5.5,3.5,10.4,26,1.301,0.172,6.2,0.149
3410,금본L,2020.06.23,25.2,7.8,312,7.2,2.6,8.9,9.4,2.1,0.077,5.2,113.681
3411,논산A,2020.06.23,27.3,7.5,291,7.2,4.9,10.5,21,2.348,0.159,6.9,7.828
3412,대교천2,2020.06.23,30.2,9,341,14.4,2.4,6.7,2.8,1.413,0.161,3.9,0.403
3413,석성천2,2020.06.23,27,7.2,347,6.5,4.3,13,30,2.033,0.203,7.6,5.077
3414,길산천2,2020.06.24,25,7.5,361,7.5,6,18.3,57,2.164,0.291,11.7,
3415,논산A1,2020.06.24,24.4,7.5,153,9.4,0.6,3.4,0.9,2.709,0.029,1,0.74
3416,논산A2,2020.06.24,21.6,7.4,226,10.2,2.3,5.6,16.8,3.176,0.109,2.7,0.222
3417,논산A3,2020.06.24,23.2,7.5,214,9,2,11.8,10,1.985,0.3,6.5,0.777
3418,산북천,2020.06.24,26.6,8.2,331,10.7,5.8,14.5,15.3,2.451,0.157,9,
3419,금본A,2020.06.25,21.7,7.8,192,10.1,1.1,4.7,7.8,3.56,0.077,2.1,5.855
3420,금본B,2020.06.25,21.2,7.8,119,8.4,0.6,4.1,1.7,1.595,0.033,2.3,17.504
3421,금본B1,2020.06.25,19,7.4,131,9.4,1,4.2,5,2.137,0.061,2,1.56
3422,금본B2,2020.06.25,20.8,7.5,111,9.7,0.8,3.6,2.5,2.722,0.023,1.3,0.98
3423,금본C,2020.06.25,23,7.7,128,8.4,0.8,4.2,2.5,1.445,0.03,2.3,14.363
3424,금본C1,2020.06.25,23.3,7.4,167,9.6,1.1,4.5,3.1,1.767,0.025,2.2,4.796
3425,금본D,2020.06.25,23.9,7.7,145,8,0.9,4.9,1.1,1.402,0.034,2.1,21.906
3426,금본E,2020.06.25,25.4,7.9,159,8.3,0.4,4.5,2.7,1.408,0.036,2.6,24.885
3427,금본F1,2020.06.25,21.3,7.2,147,7.8,0.7,3.7,0.8,3.394,0.026,1.6,0.108
3428,금본F2,2020.06.25,21.7,7.6,374,9.4,1.6,5.3,3.5,1.721,0.023,2.8,0.265
3429,보청A,2020.06.25,22.4,7.5,297,7.6,1.2,5,8.6,1.463,0.076,2.6,5.562
3430,초강A,2020.06.25,24.2,7.7,191,7.8,0.8,4.7,2.8,1.655,0.042,2.2,1.923
3431,초강A1,2020.06.25,20.8,7.2,202,8.2,1,5,4.8,2.317,0.039,2.5,0.191
3432,길산천2,2020.06.29,24.7,7.6,348,8.8,6.7,16,54.5,2.365,0.178,10.3,
3433,논산A1,2020.06.29,24.5,7.5,164,11.7,1.2,3.2,0.8,2.163,0.017,1.4,0.496
3434,논산A2,2020.06.29,22.7,7.6,145,12.7,1.6,4.2,9.8,2.704,0.072,2.2,0.164
3435,논산A3,2020.06.29,24.3,7.1,230,9.3,3.2,14.2,31.8,1.872,0.38,7.9,1.746
3436,산북천,2020.06.29,26.1,8,356,10,7.2,14.8,15.1,2.481,0.134,9.8,
3437,금본A,2020.06.30,20.2,7.5,154,8.8,2.5,7.7,21.5,3.207,0.173,3.9,15.181
3438,금본B,2020.06.30,20.6,7.7,116,9.4,1,4.4,1.9,1.55,0.023,2.6,16.807
3439,금본B1,2020.06.30,17.8,7.3,84,9.7,1.2,7.1,12.9,1.747,0.056,4.2,4.059
3440,금본B2,2020.06.30,19.8,7.2,101,9.9,1,6.1,7.2,2.524,0.063,3.4,2.92
3441,금본C,2020.06.30,22.6,7.9,128,9,2.1,4.5,3.1,1.348,0.031,2.8,20.405
3442,금본C1,2020.06.30,22.3,7.5,130,9.8,1.5,5.5,8.3,1.569,0.037,2.9,24.527
3443,금본D,2020.06.30,22.5,7.9,140,8.7,1.5,5.2,9,1.533,0.076,2.9,33.334
3444,금본E,2020.06.30,24.7,8.6,156,9.7,0.8,4.4,2.6,1.266,0.032,2.4,43.942
3445,금본F1,2020.06.30,19.2,7.3,95,9.6,0.5,5.6,1.9,2.489,0.036,3.6,1.418
3446,금본F2,2020.06.30,21.1,7.5,210,9.6,2,6.8,5.5,2.026,0.106,4.1,1.104
3447,보청A,2020.06.30,21.3,7.7,218,7.7,3.2,7.1,28.7,1.728,0.125,3.7,31.787
3448,초강A,2020.06.30,23.5,7.9,196,7.6,1.2,4.6,6.7,1.369,0.037,2.8,5.875
3449,초강A1,2020.06.30,19.7,6.8,139,7.2,2.2,9.2,11.7,2.421,0.108,5.9,2.673
3450,금본A,2020.07.06,21.4,8,167,11.5,1,4.3,4.2,3.048,0.074,2.1,6.196
3451,금본B,2020.07.06,21.3,7.4,117,10.6,0.8,4.6,2.1,1.551,0.026,2.7,17.362
3452,금본B1,2020.07.06,18.2,7.4,110,9.8,0.8,3.9,3.8,1.908,0.072,1.9,1.986
3453,금본B2,2020.07.06,21,7.7,97,11,0.6,3.6,2.6,2.599,0.055,1.5,1.806
3454,금본C,2020.07.06,22.2,8.6,117,10.7,1,4.3,1.4,1.353,0.031,2.1,15.618
3455,금본C1,2020.07.06,22.2,7.9,115,10.6,1,5,2.1,1.45,0.063,1.9,5.933
3456,금본D,2020.07.06,22.8,8.2,131,9.5,0.9,4,1.9,1.244,0.058,1.9,21.348
3457,금본E,2020.07.06,23.5,8.8,142,10.2,1,4.2,2.4,1.322,0.035,2.1,29.411
3458,금본F1,2020.07.06,22.1,7.4,121,9.6,0.5,3.5,0.5,2.955,0.02,1.7,0.181
3459,금본F2,2020.07.06,23.1,7.8,317,10,1,4.5,2.8,1.784,0.051,2.2,0.313
3460,보청A,2020.07.06,22.8,7.6,243,8.4,1.5,4.2,6.4,1.875,0.07,2.2,5.632
3461,초강A,2020.07.06,21.8,7.8,157,9,0.7,4.4,2.9,1.915,0.054,2.4,3.607
3462,초강A1,2020.07.06,20.8,7.2,175,8.7,0.9,4.7,3.7,2.258,0.043,2.4,0.355
3463,갑천A,2020.07.07,25.1,7.6,450,8.1,2.9,7,6.1,7.645,0.169,4.9,14.623
3464,금본F,2020.07.07,12.7,7.5,165,8.7,0.8,5.1,0.6,1.717,0.028,3.2,128.315
3465,금본G,2020.07.07,17.1,7.4,202,10.1,1.4,5.2,3.9,2.12,0.053,3,144.388
3466,금본G-1,2020.07.07,13.8,7.2,189,9.5,1,4.5,2.5,2.241,0.051,2.6,146.966
3467,금본G1,2020.07.07,22.6,7.6,237,8.1,0.9,4.9,6.9,1.334,0.099,2.3,0.109
3468,금본G2,2020.07.07,23.9,8.3,279,10.3,1.3,5.1,8,1.211,0.08,2.7,0.437
3469,무심A,2020.07.07,25.4,7.6,309,8,3.9,6.7,9.6,2.27,0.312,5.6,2.008
3470,무심A1,2020.07.07,25.8,7.6,305,8.1,2.7,6.7,14.5,1.75,0.203,3.4,0.782
3471,미호A,2020.07.07,26.4,9.4,486,15.8,7.5,14.8,28,1.638,0.296,8.5,1.138
3472,미호A1,2020.07.07,25.5,7.7,537,9.8,5.9,10.9,19.8,2.619,0.293,5.9,0.609
3473,미호A2,2020.07.07,26.3,8.6,484,17.9,3.5,7.1,5.4,2.277,0.19,3.5,0.47
3474,미호B,2020.07.07,27.4,8.3,759,11.8,5.8,9.9,9,7.327,0.142,6.8,9.525
3475,미호B1,2020.07.07,26,8,325,11,1.9,6.9,14.2,1.242,0.131,3.9,0.822
3476,미호B2,2020.07.07,25.2,7.6,304,10.1,3.6,8.3,11.2,2.151,0.161,4.2,0.373
3477,미호B3,2020.07.07,26.2,7.8,384,11.9,6.5,15.2,21.3,2.851,0.384,7.7,0.075
3478,미호B4,2020.07.07,28.3,7.7,1546,8.4,4.6,7.6,8.8,14.396,0.119,4.2,1.707
3479,미호C,2020.07.07,27.1,8.7,556,15.6,7.8,15.5,37,3.303,0.334,6.3,11.591
3480,미호C1,2020.07.07,24.9,7.7,496,8.8,1.8,6.2,6.9,2.051,0.089,3.5,1.588
3481,병천A,2020.07.07,27.1,8.1,424,8.4,2.9,8.9,31.3,2.344,0.183,4.8,1.482
3482,유등A,2020.07.07,22.6,7.8,321,9.5,0.9,2.8,1.9,2.341,0.032,1.4,1.152
3483,금본H,2020.07.08,17.4,7.3,246,11.1,1.9,6,8.4,2.589,0.098,3.1,166.574
3484,금본H-1,2020.07.08,16.4,7.5,210,10.3,1.3,5.2,8.3,2.207,0.066,3,167.127
3485,금본H1,2020.07.08,24,7.5,188,9.1,0.5,3.9,4.7,1.729,0.061,2.4,0.734
3486,금본I,2020.07.08,22.4,8.2,229,12,2.5,6.6,20.3,2.236,0.074,4.6,171.835
3487,금본J,2020.07.08,21.5,8.3,244,12.6,3.8,7.6,27,2.345,0.117,4.8,125.674
3488,금본J1,2020.07.08,27.4,7.6,199,8.7,1.2,5.7,6.7,2.884,0.076,3,1.844
3489,금본K,2020.07.08,21.8,8.3,236,12,3.4,7.4,23.6,2.188,0.132,4.1,144.914
3490,금본K1,2020.07.08,23.4,7.2,327,5.8,0.6,6.3,20.5,1.346,0.129,3.4,0.241
3491,금본L,2020.07.08,23.9,7.8,263,7.2,2.2,7.8,12.6,2.645,0.115,4.7,157.549
3492,논산A,2020.07.08,25.6,7.8,247,9.6,5.6,9.5,21.7,2.561,0.18,6.5,9.394
3493,대교천2,2020.07.08,27,8.4,330,11.5,0.9,5.5,4.5,2.28,0.157,3,0.553
3494,석성천2,2020.07.08,23.8,7,286,7.3,2.6,8.4,26,2.122,0.165,4.2,4.37
3495,길산천2,2020.07.09,26.2,7.7,321,7.6,5.1,16.3,30.5,1.703,0.333,10.5,
3496,논산A1,2020.07.09,24.7,7.4,119,9.3,0.5,3.2,1.2,1.643,0.021,1.5,1.575
3497,논산A2,2020.07.09,26.4,7.8,213,10.3,0.9,5.2,48.5,2.992,0.126,2.8,0.264
3498,논산A3,2020.07.09,26.7,8.4,206,13.5,1.6,9.8,8.4,1.72,0.278,5.7,0.71
3499,산북천,2020.07.09,26.4,8.5,274,10.6,6.7,13.4,15.5,3.021,0.295,7.8,
3500,갑천A,2020.07.15,19.8,7.4,200,9.2,2.1,6,10.1,3.481,0.078,3.1,
3501,금본G,2020.07.15,16.5,7.8,182,6.9,1.9,5.1,8,1.956,0.03,3,
3502,미호C,2020.07.15,21,7.6,276,7.6,2.5,7.8,32,3.25,0.121,3.8,
3503,논산A,2020.07.16,21.8,7.5,191,6.7,2.2,7.4,24.7,3.257,0.161,4.3,
3504,갑천A,2020.07.20,24.4,7.6,248,7.6,5.7,7.1,22.4,4.219,0.125,4,72.866
3505,금본F,2020.07.20,22.4,7.8,144,6,0.9,5.5,3.4,1.553,0.034,3,455.732
3506,금본G,2020.07.20,20.3,7.4,153,6.3,1.4,6.1,13.8,1.798,0.056,4.3,541.633
3507,금본G-1,2020.07.20,20.3,7,154,6.2,3.3,6.9,15,1.718,0.138,4.1,535.71
3508,금본G1,2020.07.20,22.7,7.5,138,8.5,3.3,12.7,134,1.735,0.2,8.6,1.121
3509,금본G2,2020.07.20,24.3,7.4,206,7.4,5.1,13,270,2.018,0.242,8.9,3.031
