,이름,분류번호,대권역,수계,중권역,수질목표,주소,위도(DMS도),위도(DMS분),위도(DMS초),경도(DMS도),경도(DMS분),경도(DMS초),위도(Degree),경도(Degree),RCH_ID,본/지류,하천/호소,수량,총량,자동,퇴적물,방사성,예보,주요,중권역,보대,조사기관
한천,미호A2,3011A17,금강,금강,미호천,,충청북도 진천군 덕산면 한천리 (한천교),36,54,31.75,127,30,25.73,36.90881944,127.5071472,30110101,지,하천,,1,,,,,,,,금강물환경연구소
미호천2,,3011A20,금강,금강,미호천,,충청북도 진천군 초평면 오갑리 (오갑교),36,50,33.02,127,30,20.19,36.84250556,127.5056083,30110214,지,하천,1,,,,,,,,,금강유역환경청
백곡천1,,3011A25,금강,금강,미호천,,충청북도 진천군 백곡면 석현리 (상송교),36,52,42.25,127,22,55.79,36.87840278,127.3821639,30110301,지,하천,1,,,,,,,,,충청북도
백곡천2,,3011A30,금강,금강,미호천,,충청북도 진천군 진천읍 신정리 (지석마을),36,51,14.33,127,27,38.26,36.85398056,127.4606278,30110401,지,하천,1,,,,,,,,,충청북도
미호천7,,3011A32,금강,금강,미호천,,충청북도 진천군 문백면 구곡리 (농다리),36,49,27.52,127,29,44.68,36.82431111,127.4957444,30110801,지,하천,1,,,,,,,,,금강유역환경청
초평천,,3011A35,금강,금강,미호천,,충청북도 진천군 초평면 용정리 (용정교),36,50,32.32,127,31,25.64,36.84231111,127.5237889,30110603,지,하천,1,,,,,,,,,충청북도
미호천3,미호A,3011A40,금강,금강,미호천,,충청북도 청주시 청원구 오창읍 여천리 (여암교),36,46,9.59,127,30,43.56,36.76933056,127.5121,30110803,지,하천,1,1,,,,,,,,금강물환경연구소
보강천1,미호B1,3011A43,금강,금강,미호천,,충청북도 증평군 증평읍 초중리 (증평대교),36,47,3.13,127,34,59.42,36.78420278,127.5831722,30110705,지,하천,,1,,,,,,,,금강물환경연구소
보강천,,3011A45,금강,금강,미호천,,"충청북도 증평군 증평읍 연탄리 (반탄교)
",36,46,52.5,127,34,29.21,36.78125,127.5747806,30110707,지,하천,1,,,,,,,,,충청북도
성암천,미호B2,3011A48,금강,금강,미호천,,충청북도 진천군 문백면 도하리 (모정교),36,44,24.68,127,28,4.7,36.74018889,127.4679722,30110805,지,하천,,1,,,,,,,,금강물환경연구소
미호천4,,3011A50,금강,금강,미호천,,충청북도 청주시 상당구 외하동 (팔결교),36,42,41.57,127,28,39.3,36.71154722,127.4775833,30110907,지,하천,1,,,,,,,,,금강유역환경청
무심천,무심A1,3011A53,금강,금강,미호천,,충청북도 청주시 상당구 남일면 신송리 (신송교),36,34,55.61,127,30,15.69,36.58211389,127.5043583,30111003,지,하천,,1,,,,,,,,금강물환경연구소
무심천1,,3011A55,금강,금강,미호천,,충청북도 청주시 상당구 영운동(영운동취수장),36,36,55.7,127,29,44.76,36.61547222,127.4957667,30111007,지,하천,1,,,,,,,,,금강물환경연구소(2017년)
